title,type,date
"Jan. 9, 2018","Her evolution from artisan to fine artist culminated in a retrospective at the Metropolitan Museum of Art, its first for a living female artist.",Obituaries,"Betty Woodman, Who Spun Pottery Into Multimedia Art, Dies at 87",http://www.nytimes.com/2018/01/05/obituaries/betty-woodman-dies-spun-pottery-into-multimedia-art.html
"Jan. 10, 2018",Latinos made up a disproportionately high number of the Vietnam War’s casualties.,Opinion,Soldiers in la Guerra,http://www.nytimes.com/2018/01/05/opinion/soldiers-in-la-guerra.html
"Jan. 10, 2018","High-strung emus are among a veterinarian’s patients, and Amandla Stenberg stars in the adaptation of Nicola Yoon’s young-adult novel.",Television,"What’s on TV Saturday: ‘The Incredible Dr. Pol’ and ‘Everything, Everything’",http://www.nytimes.com/2018/01/06/arts/television/incredible-dr-pol-everything-everything-hbo.html
"Jan. 10, 2018",David Steinberg double dips.,Crosswords & Games,Vowel Play,http://www.nytimes.com/2018/01/06/crosswords/daily-puzzle-2018-01-07.html
"Jan. 10, 2018",Sam Ezersky evokes a childhood memory for me.,Crosswords & Games,Hypnotist’s Command,http://www.nytimes.com/2018/01/07/crosswords/daily-puzzle-2018-01-08.html
"Jan. 10, 2018","With extreme cold blanketing parts of the East Coast, there have been many opportunities for sliding and skating — even in places where it is risky and unauthorized.",U.S.,"The Reflecting Pool Isn’t a Skating Rink, Washington Tells Visitors",http://www.nytimes.com/2018/01/08/us/skating-lincoln-memorial.html
"Jan. 11, 2018",Writers from across the political spectrum discuss questions about the president’s mental capacity.,Politics,Right and Left React to Questions About Trump’s Mental State,http://www.nytimes.com/2018/01/08/us/politics/right-and-left-react-to-questions-about-trumps-mental-state.html
"Jan. 11, 2018","The psychedelic work of Bruce Haack, an electronic-music pioneer who died in 1988, is coming to the stage.",Music,He Made Kids’ Music and Albums About Lucifer. Now His Work Is a Rock Opera.,http://www.nytimes.com/2018/01/09/arts/music/bruce-haack-electric-lucifer.html
"Jan. 11, 2018","After a discreet tug-of-war with the playwright’s estate and Yale, the University of Texas has acquired the papers, including an “Aladdin’s cave” of unpublished material.",Arts,Inside the Battle for Arthur Miller’s Archive,http://www.nytimes.com/2018/01/09/arts/arthur-miller-archive-ransom-center.html
"Jan. 11, 2018",Frequently asked questions,Weddings,Wedding Submission FAQs,http://www.nytimes.com/2018/01/09/fashion/weddings/wedding-submission-faqs.html
"Jan. 11, 2018","Andras Bankuti’s images of Hungary straddle the country’s complex communist period, showing struggling families, rousing political gatherings and a punk movement.",Multimedia/Photos,Behind the Iron Curtain: Intimate Views of Life in Communist Hungary,https://lens.blogs.nytimes.com/2018/01/10/behind-the-iron-curtain-intimate-views-of-life-in-communist-hungary/
"Jan. 12, 2018",James Franco told Stephen Colbert he had “no idea” why the actress Ally Sheedy had called him out on Twitter.,Television,James Franco Denies Sexual Misconduct Accusations on Colbert’s ‘Late Show’,http://www.nytimes.com/2018/01/10/arts/television/james-franco-stephen-colbert-ally-sheedy.html
"Jan. 12, 2018","A new study found that the Trump administration has systematically removed, altered or played down references to climate change on federal websites.",Climate,How Much Has ‘Climate Change’ Been Scrubbed From Federal Websites? A Lot.,http://www.nytimes.com/2018/01/10/climate/climate-change-trump.html
"Jan. 12, 2018",Events Tuesday included a video installation showcasing Michelangelo’s masterpiece in a new way and the luxury brand showing off its museum-cum-bazaar.,Style,"In Florence, the David Gets Dressed and Gucci Gets a Garden",http://www.nytimes.com/2018/01/10/style/florence-italy-david-gucci-alessandro-michele.html
"Jan. 12, 2018","Her new Jim Crow-era play, “He Brought Her Heart Back in a Box,” shows that even late in an influential career, she’s not mellowing.",Theater,"Adrienne Kennedy, Playwright: Still Quiet, Still Bold, Still Furious",http://www.nytimes.com/2018/01/10/theater/adrienne-kennedy-playwright-still-quiet-still-bold-still-furious.html
"Jan. 12, 2018",Olivia Munn hosts the Critics’ Choice Awards. And watch a news special on Tonya Harding.,Television,What’s on TV Thursday: The Critics’ Choice Awards and ‘S.W.A.T.’,http://www.nytimes.com/2018/01/11/arts/television/whats-on-tv-thursday-the-critics-choice-awards-and-swat.html
"Jan. 12, 2018","Whether they’re digital photos on your smartphone or old negatives in your attic, here’s how to get started tackling your photo clutter.",Smarter Living,A Beginner’s Guide to Backing Up Photos,http://www.nytimes.com/2018/01/11/smarter-living/backing-up-your-photos.html
"Jan. 14, 2018","The men’s wear brand, now owned by an Italian’s holding company, showcased pieces from its past as well as a new collection.",Style,Brooks Brothers Celebrates 200 Years With a Party — in Florence,http://www.nytimes.com/2018/01/11/style/brooks-brothers-florence-italy.html
"Jan. 14, 2018","Yuri A. Dmitriev was charged with possessing child pornography, but his real crime seems to have been documenting Stalin’s crimes.",Europe,Gulag Historian Ordered to Undergo Psychiatric Testing in Russia,http://www.nytimes.com/2018/01/11/world/europe/russia-historian-psychiatric-testing.html
"Jan. 14, 2018",Writers from across the political spectrum discuss Congress’s vote to extend the N.S.A. spying program.,Politics,Right and Left React to the Extension of Warrantless Surveillance,http://www.nytimes.com/2018/01/11/us/politics/right-left-react-nsa-spying-warantless-surveillance.html
"Jan. 15, 2018",In which we consult the Book Review’s past to shed light on the books of the present. This week: Richard Le Gallienne on Ezra Pound.,Book Review,Notes From the Book Review Archives,http://www.nytimes.com/2018/01/12/books/review/richard-le-gallienne-ezra-pound.html
"Jan. 16, 2018",Edward L. Ayers’s “The Thin Light of Freedom” presents the War Between the States as experienced by ordinary people.,Book Review,Seeing the Civil War From the Ground Up,http://www.nytimes.com/2018/01/12/books/review/edward-l-ayers-thin-light-of-freedom-civil-war.html
"Jan. 16, 2018",An Egyptian lawyer’s prolific lawsuits seek to punish those he deems to offend Egypt’s morality or its president.,Middle East,Protecting His Nation From Puppeteers and Belly Dancers,http://www.nytimes.com/2018/01/12/world/middleeast/cairo-lawyer-lawsuit.html
"Jan. 16, 2018","Rock is underexplored onstage, but two Under the Radar shows, “How to Be a Rock Critic” and “The Hendrix Project,” grapple with its transformative power.",Theater,How to Listen to Rock ’n’ Roll in a Theater,http://www.nytimes.com/2018/01/12/theater/review-how-to-be-a-rock-critic-the-hendrix-project.html
"Jan. 16, 2018","Streaming has established itself as the dominant mode of music distribution. What could go wrong? Quite a lot, it turns out.",Music,"In Streaming, One Goliath Creates Many Davids",http://www.nytimes.com/2018/01/12/arts/music/popcast-streaming-spotify-soundcloud-bandcamp.html
"Jan. 16, 2018","Peter Thiel, the tech billionaire, helped run Gawker Media offline. Now he is trying to buy what is left of it.",Media,"Thiel Makes a Bid for Gawker.com, a Site He Helped Bankrupt",http://www.nytimes.com/2018/01/12/business/media/thiel-gawker-bid.html
"Jan. 17, 2018",Among the private details Elizabeth II reveals about her 1953 coronation in a BBC documentary airing on Sunday: The crown was too big for her head.,Europe,This Is What We Learned When the Queen Opened the Vault,http://www.nytimes.com/2018/01/14/world/europe/uk-queen-coronation-bbc.html
"Sunday, March 3, 2019","Robert Menasse writes a polyphonic novel of satire and sympathy about Brussels, Europe’s symbolic capital — its bureaucrats, nationalisms and police.",Books,"Brussels, E.U. Capital, Gets a Novel, Both Tart and Empathic",http://www.nytimes.com/2018/01/14/books/new-novel-about-european-union.html
"Jan. 1, 2018",Neil Barrett hones his classic style while Versace ranges from zebra stripes to velvet suiting.,Fashion,"In Milan, Military Rigor Meets Instagram Excess",http://www.nytimes.com/2018/01/14/fashion/neil-barrett-versace-milan.html
"Jan. 2, 2018",“I Am Not Your Negro” runs on PBS. And the third season of “Detectorists” streams on Acorn.tv.,Television,What’s on TV Monday: ‘I Am Not Your Negro’ and ‘Detectorists’,http://www.nytimes.com/2018/01/15/arts/television/whats-on-tv-monday-i-am-not-your-negro-and-detectorists.html
"Jan. 3, 2018","Yes, it’s driven by greed — but the mania for cryptocurrency could wind up building something much more important than wealth.",Magazine,Beyond the Bitcoin Bubble,http://www.nytimes.com/2018/01/16/magazine/beyond-the-bitcoin-bubble.html
"Jan. 3, 2018",Newly discovered photographs by the Nobel-winning novelist reveal a South African adolescence shaped by art and apartheid.,Art & Design,"J.M. Coetzee’s Boyhood, in Black and White",http://www.nytimes.com/2018/01/16/arts/design/coetzee-photographs.html
"Jan. 3, 2018",A new documentary chronicles the work of the conceptual artist Joseph Beuys and the depression he suffered in the 1950s.,Movies,"Review: In ‘Beuys,’ a Portrait of the Artist as a Socially Conscious Provocateur",http://www.nytimes.com/2018/01/16/movies/joseph-beuys-documentary-review.html
"Jan. 3, 2018","A highly anticipated follow-up to the “The People vs. O.J. Simpson” focuses on life in and out of the closet — not as a shopper, but as a gay man.",Fashion,There’s Not That Much Fashion in FX’s Big Versace Drama,http://www.nytimes.com/2018/01/16/fashion/versace-american-crime-story-fashion.html
"Jan. 4, 2018","A celebration of Canadian cuisine, from its indigenous chefs to its famous butter tarts and Caesars.",Food,The Canada Issue,http://www.nytimes.com/interactive/2018/01/16/dining/canadian-food.html
"Jan. 4, 2018",Writers from across the political spectrum on the president’s immigration preferences and what role ethnicity should play in policymaking.,Politics,Right and Left React to President Trump’s Comments on Immigration,http://www.nytimes.com/2018/01/16/us/politics/right-and-left-react-to-president-trumps-comments-on-immigration.html
"Jan. 4, 2018","A book about the photographer by his longtime business manager has drawn criticism from Avedon’s friends and colleagues, who say it is riddled with errors and falsehoods.",Books,A Literary Portrait of Richard Avedon Causes Controversy,http://www.nytimes.com/2018/01/01/arts/a-literary-portrait-of-richard-avedon-causes-controversy.html
"Jan. 4, 2018","Some of yesterday’s dishes, like Greek-style broiled shrimp and spaghetti al limone, become today’s classics for a reason.",Food,"Pulled From the Past: Easy, Delicious Recipes for 2018",http://www.nytimes.com/2018/01/02/dining/times-archive-recipes.html
"Jan. 5, 2018","A unique chronicle written from the Gulag emerged after 70 years, requiring dogged detective work to unearth the author’s identity.",Art & Design,A Diary From a Gulag Meets Evil With Lightness,http://www.nytimes.com/2018/01/03/arts/design/gulag-museum-moscow-diary.html
"Jan. 5, 2018","Wednesday: Leaving fire-ravaged Santa Rosa, census fears, Silicon Valley sex parties and, finally, the California of a century ago",U.S.,"California Today: For Sale in Santa Rosa, Fire-Scorched Land",http://www.nytimes.com/2018/01/03/us/california-today-for-sale-in-santa-rosa-fire-scorched-land.html
"Jan. 5, 2018","A home for Marc Bohan’s Dior sketches and letters to Oscar de la Renta has expanded from 3,500 square feet to 6,100 square feet.",Fashion,Fashion Institute of Technology’s Library Gets a Makeover,http://www.nytimes.com/2018/01/03/fashion/fashion-institute-of-technology-library.html
"Jan. 5, 2018",The sixth in our seven-part series on the elements of art.,Lesson Plans,Analyzing the Elements of Art | Five Ways to Think About Space,http://www.nytimes.com/2018/01/03/learning/lesson-plans/analyzing-the-elements-of-art-five-ways-to-think-about-space.html
"Jan. 6, 2018",In which we consult the Book Review’s past to shed light on the books of the present. This week: Jean Strouse and Eudora Welty on the “great books” they never finished.,Book Review,Notes From the Book Review Archives,http://www.nytimes.com/2018/01/04/books/review/jean-strouse-eudora-welty-great-books.html
"Jan. 6, 2018","Look closely at this graph, and join the moderated conversation about what you and other students see.",The Learning Network,"What’s Going On in This Graph? | Jan. 9, 2018",http://www.nytimes.com/2018/01/04/learning/whats-going-on-in-this-graph-jan-9-2018.html
"Jan. 6, 2018",Writers from across the political spectrum on the comments made by Stephen K. Bannon about President Trump and the president’s response.,Politics,Right and Left React to the Clash Between Trump and Bannon,http://www.nytimes.com/2018/01/04/us/politics/right-and-left-react-to-the-clash-between-trump-and-bannon.html
